Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,CoG_($),Microorganism
1830575790,0.822024713,1000000,3.75,0.059954097,0.630065137,B. thuringiensis (Batch)
1502495721,0.801607999,1000000,3.75,0.088489443,0.78273079,B. thuringiensis (Batch)
1639959826,0.83181166,1000000,3.75,0.065098692,0.694313308,B. thuringiensis (Batch)
1776467508,0.933690809,1000000,3.75,0.080049574,0.569323964,B. thuringiensis (Batch)
1811594479,0.77174349,1000000,3.75,0.023459229,0.683066732,B. thuringiensis (Batch)
1715734526,0.812707205,1000000,3.75,0.059424166,0.680016705,B. thuringiensis (Batch)
1849582452,0.864110302,1000000,3.75,0.081332434,0.59069832,B. thuringiensis (Batch)
1676812255,0.900647343,1000000,3.75,0.069671203,0.626583831,B. thuringiensis (Batch)
1688865944,0.792026962,1000000,3.75,0.059973017,0.708796005,B. thuringiensis (Batch)
1614241616,0.86772165,1000000,3.75,0.133249815,0.667014458,B. thuringiensis (Batch)
1982754793,0.827879254,1000000,3.75,0.114037904,0.57138384,B. thuringiensis (Batch)
1782291529,0.852915222,1000000,3.75,0.056321455,0.624147027,B. thuringiensis (Batch)
1753799168,0.891416224,1000000,3.75,0.054296253,0.607135721,B. thuringiensis (Batch)
1836707453,0.827941906,1000000,3.75,0.058859921,0.623609368,B. thuringiensis (Batch)
1795100739,0.92396095,1000000,3.75,0.094127625,0.567747841,B. thuringiensis (Batch)
1675953522,0.829570538,1000000,3.75,0.080309995,0.679175411,B. thuringiensis (Batch)
1567820585,0.919712956,1000000,3.75,0.08831877,0.653813455,B. thuringiensis (Batch)
1808561814,0.874199878,1000000,3.75,0.113112468,0.59333588,B. thuringiensis (Batch)
1591742528,0.832541092,1000000,3.75,0.029551939,0.719773938,B. thuringiensis (Batch)
1781193380,0.79001682,1000000,3.75,0.011299203,0.680284531,B. thuringiensis (Batch)
1854755568,0.830252328,1000000,3.75,0.089720051,0.612046004,B. thuringiensis (Batch)
1804521963,0.877757859,1000000,3.75,0.066664146,0.597780173,B. thuringiensis (Batch)
1712204149,0.849101938,1000000,3.75,0.100604706,0.646873308,B. thuringiensis (Batch)
1847075746,0.815284267,1000000,3.75,0.068828014,0.628488812,B. thuringiensis (Batch)
1815746304,0.742894035,1000000,3.75,0.095086411,0.697963243,B. thuringiensis (Batch)
1747427523,0.825885612,1000000,3.75,0.107130781,0.650799499,B. thuringiensis (Batch)
1880511481,0.832336434,1000000,3.75,0.124886627,0.597917599,B. thuringiensis (Batch)
1676672042,0.751409359,1000000,3.75,0.103918043,0.745970126,B. thuringiensis (Batch)
1879547833,0.832922544,1000000,3.75,0.083365722,0.602801475,B. thuringiensis (Batch)
1607050136,0.834588505,1000000,3.75,0.032871896,0.710702466,B. thuringiensis (Batch)
1755994832,0.827898715,1000000,3.75,0.075276629,0.650178877,B. thuringiensis (Batch)
1744291571,0.74404729,1000000,3.75,0.128060559,0.720640969,B. thuringiensis (Batch)
1840256525,0.816276768,1000000,3.75,0.031270172,0.634762632,B. thuringiensis (Batch)
1740798293,0.798080411,1000000,3.75,0.115289326,0.674931411,B. thuringiensis (Batch)
1743186959,0.8467207,1000000,3.75,0.101343883,0.637068496,B. thuringiensis (Batch)
1785181169,0.844009324,1000000,3.75,0.029004404,0.633128777,B. thuringiensis (Batch)
1666844105,0.874554148,1000000,3.75,0.09981726,0.645240243,B. thuringiensis (Batch)
1799839135,0.814691761,1000000,3.75,0.090990708,0.642604082,B. thuringiensis (Batch)
1894360077,0.844248235,1000000,3.75,0.054949167,0.593413172,B. thuringiensis (Batch)
1781842687,0.833174013,1000000,3.75,0.082713782,0.635746196,B. thuringiensis (Batch)
1695298493,0.913515073,1000000,3.75,0.093202702,0.608157998,B. thuringiensis (Batch)
1779695732,0.814353568,1000000,3.75,0.11510495,0.647011611,B. thuringiensis (Batch)
1613475776,0.802628749,1000000,3.75,0.05088631,0.733437232,B. thuringiensis (Batch)
1768596391,0.922881673,1000000,3.75,0.060340883,0.58083114,B. thuringiensis (Batch)
1680341950,0.762608046,1000000,3.75,0.098336969,0.734231257,B. thuringiensis (Batch)
1721474769,0.739206445,1000000,3.75,0.128269534,0.734943368,B. thuringiensis (Batch)
1793217472,0.832369109,1000000,3.75,0.075015812,0.633296321,B. thuringiensis (Batch)
1652321272,0.842219338,1000000,3.75,0.064951402,0.680623167,B. thuringiensis (Batch)
1604553309,0.767460181,1000000,3.75,0.09906137,0.763939384,B. thuringiensis (Batch)
1897533662,0.788177297,1000000,3.75,0.01196946,0.639981303,B. thuringiensis (Batch)
1789808016,0.753024966,1000000,3.75,0.114413874,0.695849513,B. thuringiensis (Batch)
1687452159,0.82116105,1000000,3.75,0.048248641,0.685815871,B. thuringiensis (Batch)
1864661229,0.837130026,1000000,3.75,0.121278025,0.59998286,B. thuringiensis (Batch)
1595238092,0.767001708,1000000,3.75,0.098827837,0.768895602,B. thuringiensis (Batch)
1870077708,0.832265923,1000000,3.75,0.082393958,0.606449737,B. thuringiensis (Batch)
1768643234,0.803579247,1000000,3.75,0.046785568,0.668843301,B. thuringiensis (Batch)
1763937515,0.850523977,1000000,3.75,0.077032819,0.629812747,B. thuringiensis (Batch)
1774250434,0.802929978,1000000,3.75,0.121218788,0.657422082,B. thuringiensis (Batch)
1730267901,0.87293221,1000000,3.75,0.136417348,0.618176913,B. thuringiensis (Batch)
1844790909,0.852622204,1000000,3.75,0.07545438,0.600916485,B. thuringiensis (Batch)
1665436270,0.936746273,1000000,3.75,0.094416503,0.603563311,B. thuringiensis (Batch)
1663758460,0.832905377,1000000,3.75,0.072020497,0.68254173,B. thuringiensis (Batch)
1703076244,0.838085748,1000000,3.75,0.125677084,0.655578271,B. thuringiensis (Batch)
1838175842,0.894427069,1000000,3.75,0.040653236,0.578880626,B. thuringiensis (Batch)
1800481290,0.848198309,1000000,3.75,0.081673361,0.618148818,B. thuringiensis (Batch)
1646031832,0.768938608,1000000,3.75,0.14486394,0.736437193,B. thuringiensis (Batch)
1635414223,0.865484694,1000000,3.75,0.063038682,0.669428992,B. thuringiensis (Batch)
1852862156,0.726980901,1000000,3.75,0.034537179,0.707425198,B. thuringiensis (Batch)
1914038530,0.862727553,1000000,3.75,0.064127497,0.57368471,B. thuringiensis (Batch)
1639064729,0.760770796,1000000,3.75,0.046673472,0.762347612,B. thuringiensis (Batch)
1836956745,0.791192503,1000000,3.75,0.049483182,0.653702146,B. thuringiensis (Batch)
1635458055,0.854400489,1000000,3.75,0.09347149,0.673990942,B. thuringiensis (Batch)
1906479386,0.828693634,1000000,3.75,0.086914993,0.596895433,B. thuringiensis (Batch)
1610882295,0.838302177,1000000,3.75,0.088436169,0.698116538,B. thuringiensis (Batch)
1533408604,0.806469,1000000,3.75,0.088269303,0.762362002,B. thuringiensis (Batch)
